Country	Income Group	Value	Area (Inputs FertilizersProduct E All Data (Normalized).csv)	Area Code (ISO2) (Inputs FertilizersProduct E All Data (Normalized).csv)	Element (Inputs FertilizersProduct E All Data (Normalized).csv)	Element Code (Inputs FertilizersProduct E All Data (Normalized).csv)	Item (Inputs FertilizersProduct E All Data (Normalized).csv)	Item Code (Inputs FertilizersProduct E All Data (Normalized).csv)	Unit (Inputs FertilizersProduct E All Data (Normalized).csv)	Year (Inputs FertilizersProduct E All Data (Normalized).csv)	Year Code (Inputs FertilizersProduct E All Data (Normalized).csv)
Ecuador	Upper-middle-income economies	109	Ecuador	EC	Agricultural Use	5157	PK compounds	4027	tonnes	2008	2008
Dominican Republic	Upper-middle-income economies	64650	Dominican Republic	DO	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2013	2013
Dominican Republic	Upper-middle-income economies	37232	Dominican Republic	DO	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2009	2009
Panama	High-income economies	106	Panama	PA	Agricultural Use	5157	Other NP compounds	4024	tonnes	2005	2005
South Africa	Upper-middle-income economies	33125	South Africa	ZA	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2005	2005
Mexico	Upper-middle-income economies	76365.44	Mexico	MX	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2010	2010
Colombia	Upper-middle-income economies	2328	Colombia	CO	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2005	2005
Brazil	Upper-middle-income economies	490921	Brazil	BR	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2008	2008
Czechia	High-income economies	231567	Czechia	CZ	Agricultural Use	5157	Urea	4001	tonnes	2016	2016
Malawi	Low income economies	23	Malawi	MW	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2010	2010
Philippines	Lower-middle-income economies	1288	Philippines	PH	Agricultural Use	5157	"Other phosphatic fertilizers, n.e.c."	4014	tonnes	2013	2013
Hungary	High-income economies	18341	Hungary	HU	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2012	2012
Brazil	Upper-middle-income economies	1173197	Brazil	BR	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2014	2014
Yemen	Low income economies	52000	Yemen	YE	Agricultural Use	5157	Urea	4001	tonnes	2010	2010
