country,iso3,year,prod_value
Albania,ALB,2018,18750151
Albania,ALB,2017,18914392
Albania,ALB,2016,18689958
Albania,ALB,2015,17747296
Albania,ALB,2014,16963765
Albania,ALB,2013,16726948
Albania,ALB,2012,16686502
Albania,ALB,2011,16322852
Albania,ALB,2010,15434013
Albania,ALB,2009,13774726
Albania,ALB,2008,13240423
Albania,ALB,2007,11697966
Albania,ALB,2006,11735864
Albania,ALB,2005,11505823
Albania,ALB,2004,11116742
Albania,ALB,2003,10979388
Albania,ALB,2002,10983889
Algeria,DZA,2016,132691560
Algeria,DZA,2015,131645250
Algeria,DZA,2014,126088980
Algeria,DZA,2013,133164048
Algeria,DZA,2012,122686758
Algeria,DZA,2011,111567978
Algeria,DZA,2010,101530398
Algeria,DZA,2009,98887878
Algeria,DZA,2008,66049050
Algeria,DZA,2007,71861868
Algeria,DZA,2006,79774806
Angola,AGO,2011,157023776
Angola,AGO,2010,146757814
Angola,AGO,2009,137561179
Angola,AGO,2008,106950137
Angola,AGO,2007,102512984
Angola,AGO,2006,90366052
Angola,AGO,2005,87991701
Antigua and Barbuda,ATG,2011,67690
Antigua and Barbuda,ATG,2010,67090
Antigua and Barbuda,ATG,2009,65800
Antigua and Barbuda,ATG,2008,64700
Antigua and Barbuda,ATG,2007,62355
Antigua and Barbuda,ATG,2006,58415
Antigua and Barbuda,ATG,2005,54370
Argentina,ARG,2018,747194056
Argentina,ARG,2017,780322032
Argentina,ARG,2016,671607615
Argentina,ARG,2015,636651337
Argentina,ARG,2014,616223503
Argentina,ARG,2013,639718429
Argentina,ARG,2012,587751444
Argentina,ARG,2011,625340618
Argentina,ARG,2010,520292220
Argentina,ARG,2009,484881544
Argentina,ARG,2008,620561389
Argentina,ARG,2007,579031306
Argentina,ARG,2006,532235025
Argentina,ARG,2005,584420396
Argentina,ARG,2004,500054058
Armenia,ARM,2011,14920806
Armenia,ARM,2010,12274722
Armenia,ARM,2009,15303612
Armenia,ARM,2008,15595296
Armenia,ARM,2007,15544302
Armenia,ARM,2006,13017780
Armenia,ARM,2005,13399650
Armenia,ARM,2004,12081372
Armenia,ARM,2003,8407460
Armenia,ARM,2002,7572170
Australia,AUS,2017,659503068
Australia,AUS,2016,540816521
Australia,AUS,2015,538261549
Australia,AUS,2014,531592635
Australia,AUS,2013,493147571
Australia,AUS,2012,537065571
Australia,AUS,2011,504476686
Australia,AUS,2010,504656061
Australia,AUS,2009,511186263
Australia,AUS,2005,560658735
Australia,AUS,2004,608424831
Australia,AUS,2003,433017564
Australia,AUS,2002,542402343
Austria,AUT,2011,57534520
Austria,AUT,2010,49262105
Austria,AUT,2009,53662935
Austria,AUT,2008,56992910
Austria,AUT,2007,49180260
Austria,AUT,2006,46388740
Austria,AUT,2005,51566630
Austria,AUT,2004,53197765
Azerbaijan,AZE,2011,43450757
Azerbaijan,AZE,2010,39712799
Azerbaijan,AZE,2009,45739694
Azerbaijan,AZE,2008,43196580
Azerbaijan,AZE,2007,40104638
Azerbaijan,AZE,2006,39479258
Azerbaijan,AZE,2005,38543379
Azerbaijan,AZE,2004,35307867
Azerbaijan,AZE,2003,34892319
Azerbaijan,AZE,2002,34179306
Bangladesh,BGD,2018,500945880
Bangladesh,BGD,2017,504341352
Bangladesh,BGD,2016,471394476
Bangladesh,BGD,2015,476485092
Bangladesh,BGD,2014,467947926
Bangladesh,BGD,2013,456538338
Bangladesh,BGD,2012,444891906
Bangladesh,BGD,2011,444009108
Bangladesh,BGD,2010,434588262
Bangladesh,BGD,2009,408432780
Bangladesh,BGD,2008,410031864
Bangladesh,BGD,2006,359126610
Bangladesh,BGD,2005,352561458
Bangladesh,BGD,2004,316994016
Bangladesh,BGD,2003,325782210
Bangladesh,BGD,2002,316810530
Barbados,BRB,2011,1505390
Barbados,BRB,2010,1376830
Barbados,BRB,2009,1868405
Barbados,BRB,2008,1630745
Barbados,BRB,2006,1836015
Barbados,BRB,2005,2302515
Barbados,BRB,2004,1897150
Barbados,BRB,2003,1935000
Barbados,BRB,2002,2177495
Belarus,BLR,2011,130936758
Belarus,BLR,2010,129087936
Belarus,BLR,2009,133793796
Belarus,BLR,2008,146611278
Belarus,BLR,2002,97770282
Belize,BLZ,2011,10308067
Belize,BLZ,2010,12358682
Belize,BLZ,2009,11611089
Belize,BLZ,2008,12079046
Belize,BLZ,2007,13435387
Belize,BLZ,2006,13217323
Belize,BLZ,2005,12248320
Belize,BLZ,2004,12987723
Belize,BLZ,2003,11623990
Bhutan,BTN,2018,2291394
Bhutan,BTN,2017,3074645
Bhutan,BTN,2016,3082422
Bhutan,BTN,2015,2586619
Bhutan,BTN,2014,2851527
Bhutan,BTN,2013,2883153
Bhutan,BTN,2012,3083353
Bhutan,BTN,2011,3582901
Bhutan,BTN,2010,2884595
Bhutan,BTN,2008,2608403
Bhutan,BTN,2007,3425436
Bhutan,BTN,2006,2867382
Bhutan,BTN,2005,3330824
Bhutan,BTN,2004,2826453
Bhutan,BTN,2003,2039796
Bhutan,BTN,2002,1892742
Bolivia (Plurinational State of),BOL,2015,96648958
Bolivia (Plurinational State of),BOL,2014,95771459
Bolivia (Plurinational State of),BOL,2013,97961955
Bolivia (Plurinational State of),BOL,2011,83385729
Bolivia (Plurinational State of),BOL,2010,81180470
Bolivia (Plurinational State of),BOL,2009,92057511
Bolivia (Plurinational State of),BOL,2008,82415151
Bolivia (Plurinational State of),BOL,2007,75708941
Bolivia (Plurinational State of),BOL,2006,75284265
Bolivia (Plurinational State of),BOL,2005,66323523
Bolivia (Plurinational State of),BOL,2004,65879527
Bolivia (Plurinational State of),BOL,2003,64568511
Bolivia (Plurinational State of),BOL,2002,63449813
Brazil,BRA,2017,6781500824
Brazil,BRA,2016,6621748840
Brazil,BRA,2015,6666205623
Brazil,BRA,2014,6538373002
Brazil,BRA,2013,6750733283
Brazil,BRA,2012,6361952275
Brazil,BRA,2011,6419487732
Brazil,BRA,2010,6251823039
Brazil,BRA,2009,6016764887
Brazil,BRA,2008,5783608012
Brazil,BRA,2007,5043295817
Brazil,BRA,2006,4448967453
Brazil,BRA,2005,4021325973
Brazil,BRA,2004,4016424510
Brazil,BRA,2003,3877309730
Brazil,BRA,2002,3565111613
Bulgaria,BGR,2011,43217620
Bulgaria,BGR,2010,41446325
Bulgaria,BGR,2009,36795280
Bulgaria,BGR,2008,41822035
Bulgaria,BGR,2007,31427454
Bulgaria,BGR,2006,42984456
Bulgaria,BGR,2005,42730770
Bulgaria,BGR,2004,57344916
Bulgaria,BGR,2003,37346088
Burkina Faso,BFA,2011,34873923
Burkina Faso,BFA,2010,39834788
Burkina Faso,BFA,2005,31828818
Burkina Faso,BFA,2004,26756121
Burkina Faso,BFA,2003,30892225
Burkina Faso,BFA,2002,27770792
Burundi,BDI,2016,28968785
Burundi,BDI,2015,28381780
Burundi,BDI,2014,28872670
Burundi,BDI,2013,33224900
Burundi,BDI,2011,22507405
Burundi,BDI,2010,22876360
Burundi,BDI,2009,22323100
Burundi,BDI,2008,21186555
Burundi,BDI,2007,20591200
Burundi,BDI,2006,19889710
Burundi,BDI,2005,20223855
Burundi,BDI,2004,20184990
Burundi,BDI,2003,20955905
Burundi,BDI,2002,20382030
